Date,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_BID,PX_ASK,PX_MID,PX_VOLUME,PX_TO_BOOK_RATIO,PE_RATIO,IS_EPS,CASH_RATIO,CUR_RATIO,QUICK_RATIO,AVERAGE_DIVIDEND_YIELD,PROF_MARGIN,OPER_MARGIN
31/10/2019,247.24,248.76,237.26,249.17,248.81,248.83,248.82,34790520,12.2149,20.9839,3.05,0.9512,1.5401,1.168,1.206,21.371,24.3988
30/10/2019,244.76,243.26,241.21,245.3,243.28,243.3,243.29,31130522,11.9448,20.5199,3.05,0.9512,1.5401,1.168,1.2332,21.371,24.3988
29/10/2019,248.97,243.29,242.57,249.75,243.28,243.3,243.29,35709867,11.9463,20.5224,3.05,0.9512,1.5401,1.168,1.2331,21.371,24.3988
28/10/2019,247.42,249.05,246.72,249.25,249.05,249.06,249.055,24143241,12.2291,21.0083,3.05,0.9512,1.5401,1.168,1.2046,21.371,24.3988
25/10/2019,243.16,246.58,242.88,246.73,246.58,246.59,246.585,18369296,12.1078,20.8,3.05,0.9512,1.5401,1.168,1.2166,21.371,24.3988
24/10/2019,244.51,243.58,241.805,244.8,243.57,243.6,243.585,17916255,11.9605,20.5469,3.05,0.9512,1.5401,1.168,1.2316,21.371,24.3988
23/10/2019,242.1,243.18,241.22,243.24,243.14,243.18,243.16,19932545,11.9409,20.5132,3.05,0.9512,1.5401,1.168,1.2337,21.371,24.3988
22/10/2019,241.16,239.96,239.6218,242.2,239.97,239.98,239.975,22684001,11.7828,20.2415,3.05,0.9512,1.5401,1.168,1.2502,21.371,24.3988
21/10/2019,237.52,240.51,237.32,240.99,240.51,240.53,240.52,22367483,11.8098,20.2879,3.05,0.9512,1.5401,1.168,1.2473,21.371,24.3988
18/10/2019,234.59,236.41,234.29,237.58,236.28,236.29,236.285,24377166,11.6084,19.9421,3.05,0.9512,1.5401,1.168,1.269,21.371,24.3988
17/10/2019,235.09,235.28,233.52,236.15,235.29,235.3,235.295,17272897,11.553,19.8468,3.05,0.9512,1.5401,1.168,1.2751,21.371,24.3988
16/10/2019,233.37,234.37,233.2,235.24,234.38,234.39,234.385,19286694,11.5083,19.77,3.05,0.9512,1.5401,1.168,1.28,21.371,24.3988
15/10/2019,236.39,235.32,234.88,237.65,235.25,235.32,235.285,23040483,11.5549,19.8501,3.05,0.9512,1.5401,1.168,1.2749,21.371,24.3988
14/10/2019,234.9,235.87,234.6701,238.1342,235.84,235.89,235.865,24413484,11.5819,19.8965,3.05,0.9512,1.5401,1.168,1.2719,21.371,24.3988
